Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2006","2006","tonnes","12663100","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2007","2007","tonnes","13734000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2008","2008","tonnes","13997000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2009","2009","tonnes","12750000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2010","2010","tonnes","15026700","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2011","2011","tonnes","15188000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2012","2012","tonnes","16196000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2013","2013","tonnes","18002000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2014","2014","tonnes","18431330","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2015","2015","tonnes","18527000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2016","2016","tonnes","18643000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2017","2017","tonnes","23332000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2018","2018","tonnes","24966000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2019","2019","tonnes","25631000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2020","2020","tonnes","24678000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2021","2021","tonnes","24968000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1961","1961","tonnes","7725000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1962","1962","tonnes","7855000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1963","1963","tonnes","7921000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1964","1964","tonnes","8506000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1965","1965","tonnes","6634000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1966","1966","tonnes","7587000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1967","1967","tonnes","8976300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1968","1968","tonnes","7253500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1969","1969","tonnes","9176000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1970","1970","tonnes","12171600","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1971","1971","tonnes","9197000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1972","1972","tonnes","7404500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1973","1973","tonnes","11557000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1974","1974","tonnes","7020900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1975","1975","tonnes","10456600","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1976","1976","tonnes","9649700","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1977","1977","tonnes","9666000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1978","1978","tonnes","10660700","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1979","1979","tonnes","8094200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1980","1980","tonnes","9336900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1981","1981","tonnes","10136200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1982","1982","tonnes","8583400","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1983","1983","tonnes","12232000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1984","1984","tonnes","9770700","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1985","1985","tonnes","7399100","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1986","1986","tonnes","8383300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1987","1987","tonnes","6865900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1988","1988","tonnes","11352900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1989","1989","tonnes","10721100","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1990","1990","tonnes","10423800","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1991","1991","tonnes","8128900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1992","1992","tonnes","12280900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1993","1993","tonnes","8488400","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1994","1994","tonnes","10299300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1995","1995","tonnes","8661100","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1996","1996","tonnes","10940500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1997","1997","tonnes","10376200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1998","1998","tonnes","10234500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","1999","1999","tonnes","8689900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2000","2000","tonnes","10077800","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2001","2001","tonnes","11235300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2002","2002","tonnes","6493900","A","Official figure"
